día,filtros,inst.,papers,bandas Roman,R062 Z087 Y106,R062 J129 H158,Z087 Y106 J129,Z087 H158 F184
0.5,U g V r i z Y y J H Ks,11,10,R062 Z087 Y106 J129 H158 F184,0.99972,0.9998,0.99978,0.99981
1.0,U B g V r R i I J H Ks,7,8,R062 Z087 Y106 J129 H158 F184,0.99972,0.99984,0.99981,0.99982
1.5,u U B g V r R i I z Y y J H K Ks,18,13,R062 Z087 Y106 J129 H158 F184,0.99974,0.99986,0.99981,0.99983
2.0,B g V r R i I z J H Ks,6,5,R062 Z087 Y106 J129 H158 F184,0.99966,0.99986,0.99978,0.99981
2.5,u B g V r R i I z Y y J H K Ks,15,11,R062 Z087 Y106 J129 H158 F184,0.99972,0.99988,0.99979,0.99981
3.0,g V r R i I z J H Ks,5,5,Z087 Y106 J129 H158 F184,—,—,0.99978,0.9998
3.5,u B g V r R i I z Y J H K Ks,13,11,R062 Z087 Y106 J129 H158 F184,0.99978,0.99989,0.99978,0.9998
4.0,r R I J H Ks,4,4,Z087 Y106 J129 H158 F184,—,—,0.99976,0.99979
4.5,B g V r R i I z Y J H K Ks,10,10,R062 Z087 Y106 J129 H158 F184,0.9998,0.9999,0.99976,0.99978
5.0,r R I F110W F160W,3,4,Z087 Y106 J129,—,—,0.99977,—
