tier,epochs,has_redshift,anchor_phase_days,median,percentile_16,percentile_84,minimum,maximum
deep,1,False,1.43,0.9998076558113098,0.9998036313056946,0.9998118185997009,0.9997913241386414,0.999815046787262
deep,1,False,1.53,0.9998065233230591,0.9998024296760559,0.9998106360435486,0.9997896552085876,0.999813973903656
deep,1,False,1.63,0.9998054504394531,0.999801127910614,0.9998095631599426,0.9997881054878235,0.9998130202293396
deep,1,False,1.73,0.9998043179512024,0.9997999358177185,0.9998084902763367,0.9997866749763489,0.9998119473457336
deep,1,False,1.83,0.9998031258583069,0.9997987341880799,0.9998074078559875,0.9997853636741638,0.9998108744621277
deep,1,False,1.93,0.999801754951477,0.9997973227500916,0.9998062062263489,0.9997840523719788,0.9998096823692322
deep,1,False,2.03,0.9998002052307129,0.9997955536842347,0.9998050141334534,0.9997828602790833,0.9998086094856262
deep,1,False,2.13,0.999798595905304,0.9997937655448914,0.9998038220405578,0.9997813105583191,0.9998075366020203
deep,1,False,2.23,0.9997970461845398,0.9997922062873841,0.9998025298118591,0.9997801184654236,0.9998065829277039
deep,1,False,2.33,0.9997960925102234,0.999791214466095,0.9998015666007996,0.9997795224189758,0.9998058676719666
deep,1,False,2.43,0.9997953176498413,0.9997902703285217,0.9998009419441223,0.9997790455818176,0.9998053908348083
deep,1,False,2.53,0.9997937679290771,0.9997887301445008,0.9997993731498718,0.999777615070343,0.9998039603233337
deep,1,False,2.63,0.9997922778129578,0.9997872996330261,0.9997979331016541,0.9997761845588684,0.9998025298118591
deep,1,False,2.73,0.9997909069061279,0.9997859883308411,0.9997963833808899,0.9997748732566833,0.9998010993003845
deep,1,False,2.83,0.9997894763946533,0.999784677028656,0.9997950530052185,0.9997735619544983,0.9997997879981995
deep,1,False,2.93,0.9997881650924683,0.999783365726471,0.9997937321662903,0.9997723698616028,0.999798595905304
deep,1,False,3.03,0.999786913394928,0.9997822833061218,0.9997925305366516,0.9997710585594177,0.9997974038124084
deep,1,False,3.13,0.999785840511322,0.9997812104225159,0.9997915577888489,0.9997698664665222,0.999796450138092
deep,1,False,3.23,0.9997850060462952,0.9997802472114563,0.9997904038429261,0.9997686743736267,0.9997956156730652
deep,1,False,3.33,0.9997841715812683,0.9997791838645935,0.999789469242096,0.9997676014900208,0.9997947812080383
deep,1,False,3.43,0.9997833967208862,0.9997780108451844,0.9997885346412658,0.9997667670249939,0.999794065952301
deep,1,False,3.53,0.9997824430465698,0.9997769284248352,0.9997875905036926,0.9997656941413879,0.9997931122779846
deep,1,False,3.63,0.9997815489768982,0.999776074886322,0.9997866559028625,0.9997647404670715,0.9997923970222473
deep,1,False,3.73,0.9997807741165161,0.9997751212120056,0.9997857213020325,0.9997637867927551,0.99979168176651
deep,1,False,3.83,0.999779999256134,0.9997741866111756,0.9997849869728088,0.9997629523277283,0.9997909665107727
deep,1,False,3.93,0.9997792840003967,0.9997733616828919,0.999784152507782,0.999762237071991,0.999790370464325
deep,1,False,4.03,0.999778687953949,0.9997725367546082,0.9997833371162415,0.9997614026069641,0.9997897744178772
deep,1,False,4.13,0.9997780919075012,0.9997717118263245,0.9997828412055969,0.9997608065605164,0.999789297580719
deep,1,False,4.23,0.9997775554656982,0.9997709965705872,0.999782235622406,0.999760091304779,0.9997889399528503
deep,1,False,4.33,0.99977707862854,0.999770290851593,0.9997817397117614,0.9997594952583313,0.9997887015342712
deep,1,False,4.43,0.9997755885124207,0.9997687411308288,0.9997803092002868,0.9997579455375671,0.9997875094413757
deep,1,False,4.53,0.9997719526290894,0.9997649359703064,0.9997767329216003,0.9997537732124329,0.9997840523719788
deep,1,False,4.63,0.9997682571411133,0.9997610020637512,0.9997731566429138,0.9997493624687195,0.9997805953025818
deep,1,False,4.73,0.9997644424438477,0.9997570586204528,0.9997694706916809,0.9997450709342957,0.9997770190238953
deep,1,False,4.83,0.9997605681419373,0.9997530055046081,0.9997657752037048,0.9997405409812927,0.9997734427452087
deep,1,False,4.93,0.9997565746307373,0.9997488331794738,0.9997619605064392,0.9997358918190002,0.9997697472572327
deep,1,False,5.03,0.9997524619102478,0.99974454164505,0.999758026599884,0.9997311234474182,0.9997660517692566
deep,1,False,5.13,0.9997482895851135,0.9997401309013366,0.9997539830207824,0.9997262358665466,0.999762237071991
deep,1,False,5.23,0.9997438788414001,0.9997357106208802,0.9997498202323913,0.999721348285675,0.9997583031654358
deep,1,False,5.33,0.9997394680976868,0.9997311806678773,0.9997455382347107,0.9997162222862244,0.9997542500495911
deep,1,True,1.43,0.9999377131462097,0.9999364709854126,0.9999389553070068,0.9999334812164307,0.999940037727356
deep,1,True,1.53,0.9999375343322754,0.9999363422393799,0.9999388360977173,0.9999333620071411,0.9999397993087769
deep,1,True,1.63,0.9999374151229858,0.9999362230300903,0.9999387073516846,0.999933123588562,0.9999396800994873
deep,1,True,1.73,0.9999372959136963,0.9999361038208008,0.999938588142395,0.999933123588562,0.9999396800994873
deep,1,True,1.83,0.9999371767044067,0.9999361038208008,0.9999385786056518,0.9999330043792725,0.9999396800994873
deep,1,True,1.93,0.9999372959136963,0.9999361038208008,0.9999385786056518,0.999933123588562,0.9999396800994873
deep,1,True,2.03,0.9999374151229858,0.999936113357544,0.999938588142395,0.9999332427978516,0.9999397993087769
deep,1,True,2.13,0.9999375343322754,0.9999362325668335,0.9999387168884277,0.9999333620071411,0.9999399185180664
deep,1,True,2.23,0.9999377727508545,0.9999364614486694,0.9999389553070068,0.9999336004257202,0.9999401569366455
deep,1,True,2.33,0.9999380111694336,0.9999366998672485,0.9999391937255859,0.9999339580535889,0.9999403953552246
deep,1,True,2.43,0.9999382495880127,0.9999369478225708,0.999939432144165,0.9999343156814575,0.9999406337738037
deep,1,True,2.53,0.9999381303787231,0.9999367094039917,0.9999392032623291,0.999934196472168,0.9999405145645142
deep,1,True,2.63,0.9999380111694336,0.9999365901947022,0.99993896484375,0.9999339580535889,0.9999403953552246
deep,1,True,2.73,0.999937891960144,0.9999363613128662,0.9999389553070068,0.9999338388442993,0.9999403953552246
deep,1,True,2.83,0.9999377727508545,0.9999362421035767,0.9999388360977173,0.9999337196350098,0.9999402761459351
deep,1,True,2.93,0.9999376535415649,0.9999361228942871,0.9999387168884277,0.9999337196350098,0.9999402761459351
deep,1,True,3.03,0.9999375343322754,0.9999360036849976,0.9999385976791382,0.9999336004257202,0.9999402761459351
deep,1,True,3.13,0.9999375343322754,0.9999358940124512,0.999938588142395,0.9999336004257202,0.9999403953552246
deep,1,True,3.23,0.9999374747276306,0.999935884475708,0.999938588142395,0.9999336004257202,0.9999403953552246
deep,1,True,3.33,0.9999374747276306,0.9999359941482544,0.999938588142395,0.9999336004257202,0.9999405145645142
deep,1,True,3.43,0.9999374747276306,0.9999359941482544,0.9999385976791382,0.9999337196350098,0.9999406337738037
deep,1,True,3.53,0.9999374151229858,0.9999359941482544,0.9999384784698486,0.9999336004257202,0.9999406337738037
deep,1,True,3.63,0.9999373555183411,0.9999359846115112,0.9999384880065918,0.9999336004257202,0.9999406337738037
deep,1,True,3.73,0.9999373555183411,0.9999359846115112,0.9999384880065918,0.9999336004257202,0.9999407529830933
deep,1,True,3.83,0.9999373555183411,0.9999358749389649,0.9999384880065918,0.9999336004257202,0.9999408721923828
deep,1,True,3.93,0.9999374151229858,0.9999358749389649,0.9999386072158813,0.9999336004257202,0.9999409914016724
deep,1,True,4.03,0.9999374151229858,0.9999358749389649,0.9999386072158813,0.9999336004257202,0.9999411106109619
deep,1,True,4.13,0.9999375343322754,0.9999359941482544,0.9999387264251709,0.9999337196350098,0.9999412298202515
deep,1,True,4.23,0.9999376535415649,0.999936113357544,0.9999388456344604,0.9999337196350098,0.999941349029541
deep,1,True,4.33,0.9999377727508545,0.9999362230300903,0.9999390745162964,0.9999338388442993,0.9999415874481201
deep,1,True,4.43,0.9999375343322754,0.9999359941482544,0.9999388456344604,0.9999336004257202,0.9999414682388306
deep,1,True,4.53,0.999936580657959,0.9999350309371948,0.9999380111694336,0.9999325275421143,0.9999406337738037
