tier,band,criterio,z95,z50,z05
deep,Z087,paper,0.10442619754157048,0.2303898034964182,0.725439253114567
deep,Z087,pipeline,0.15686820225416348,0.32013235105501003,
deep,Y106,paper,0.1107499754873448,0.22758272357096973,0.680363786343823
deep,Y106,pipeline,0.21504721148323389,0.3887448559812074,
deep,J129,paper,0.10453790346037731,0.2185844508045111,0.6025333540039954
deep,J129,pipeline,0.21427424555454688,0.38825601986325503,
deep,H158,paper,0.10107501997736597,0.21535989368051686,0.4765845358645878
deep,H158,pipeline,0.18217264392965749,0.4018705913470214,
deep,F184,paper,0.07428809080498217,0.16975190395538697,0.37236355732232246
deep,F184,pipeline,0.21537848259552833,0.48552901511019886,
wide,R062,paper,0.10155837360410733,0.22894341683386543,0.7215371476282739
wide,R062,pipeline,0.07131527084486806,0.18599512877920238,0.7007259183680442
wide,Z087,paper,0.10436048817756648,0.2298041932867017,0.7139063635661898
wide,Z087,pipeline,0.1028856780076987,0.22761190891186567,0.707786871152765
wide,Y106,paper,0.11072564001476264,0.22688171947821187,0.6799645288531521
wide,Y106,pipeline,0.11238531924486693,0.2346993712805793,0.6946926940645712
wide,J129,paper,0.10382052862118571,0.20559599804590956,0.6022969374545993
wide,J129,pipeline,0.14518975743515594,0.2813306232170896,0.8151868274763227
wide,H158,paper,0.08752522736703944,0.2009483709605762,0.45370517876459
wide,H158,pipeline,0.17957588730474,0.3652609534060529,
